feedback_id,sentence,word_count
FB_00052,cô rất nhiệt tình và tận dụng tốt thời gian .,11
FB_00053,"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",11
FB_00054,"thầy nhiệt tình , gần gũi .",7
FB_00055,"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",13
FB_00056,tạo ra sự cạnh tranh trong mỗi buổi thực hành .,11
FB_00057,bài tập và có code tham khảo .,8
FB_00058,"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",32
FB_00059,tài liệu không chi tiết lắm .,7
FB_00060,"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",15
FB_00061,thầy dạy rất hay và nhiệt tình .,8
FB_00062,"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",14
FB_00063,giúp đỡ học sinh quá ít .,7
FB_00064,cô dạy buồn ngủ quá .,6
FB_00065,nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,25
FB_00066,thầy tận tình vui tính .,6
FB_00067,cô lại kiểu khó tính nữa .,7
FB_00068,tạo hứng thú cho sinh viên .,7
FB_00069,cô giảng hay cuốn hút và truyền đạt dễ hiểu .,11
FB_00070,có hứng thú học .,5
FB_00071,ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,14
FB_00072,"giảng viên hướng dẫn cụ thể , chi tiết .",10
FB_00073,giáo trình quá ít và nội dung không khác nhau là mấy .,13
FB_00074,"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",32
FB_00075,"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",32
FB_00076,"cần có một phòng máy tốt hơn , hiện đại hơn .",12
FB_00077,thầy nên cho làm bài tập tương tự nhau nhiều hơn một vài bài để tránh tình trạng quên hoặc các dạng tựa nhau nhưng hơi khác cách làm .,30
FB_00078,"không ngờ môn này lại chán đến như vậy , không học được gì từ môn này , thầy dạy chán kinh khủng , hay đi trễ từ 30 - 45 phút , không nhiệt tình .",37
FB_00079,giảng viên đánh giá sai điểm và năng lực của học sinh .,13
FB_00080,không đáp ứng được đề cương môn học đề ra .,11
FB_00081,thầy nên hướng dẫn thực hành nhiều hơn .,9
FB_00082,"giảng viên thân thiện , quan tâm tới sinh viên .",11
FB_00083,"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",24
FB_00084,"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",14
FB_00085,thầy dạy rất tốt và nhiệt tình .,8
FB_00086,"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",12
FB_00087,"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",34
FB_00088,bài tập và hoạt động nhóm còn ít .,9
FB_00089,"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",22
FB_00090,cô hướng dẫn thực hành khá đầy đủ .,9
FB_00091,được học nhiều kinh nghiệm từ thầy wzjwz163 .,9
FB_00092,"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",13
FB_00093,hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,14
FB_00094,cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,13
FB_00095,dạy không phù hợp với cách học của em .,10
FB_00096,giải thích nội dung mới rõ ràng .,8
FB_00097,lớp học quá đông !,5
FB_00098,"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",20
FB_00099,"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",27
FB_00100,"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",18
FB_00101,tôi cảm thấy giảng viên dạy rất tốt .,9
FB_00102,"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",30
FB_00103,cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,14
FB_00104,giảng viên thân thiện nhiệt tình cởi mở .,9
FB_00105,"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",21
FB_00106,coi lại thái độ giảng viên thực hành .,9
FB_00107,"giảng viên nhiệt tình , giải nhiều bài tập .",10
FB_00108,bài giảng của thầy rất nhiệt tình .,8
FB_00109,"môn học chưa thực tiễn , chưa thu hút sinh viên .",12
FB_00110,dạy hơi nhanh !,4
FB_00111,ít làm bài tập .,5
FB_00112,"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",26
FB_00113,"giảng viên nhiệt tình , bài giảng thu hút .",10
FB_00114,"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",18
FB_00115,môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,23
FB_00116,cần thêm nhiều tài liệu cho sinh viên .,9
FB_00117,bài tập trên lớp .,5
FB_00118,tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,20
FB_00119,thầy nhiệt tình dễ hiểu .,6
FB_00120,thực hành và lý thuyết nên dạy song song .,10
FB_00121,giảng viên dạy nhanh .,5
FB_00122,bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,37
FB_00123,giảng viên cho bài tập hay .,7
FB_00124,cập nhật bài tập mới .,6
FB_00125,"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",15
FB_00126,"tận tâm , nhiệt tình , quan tâm đến sinh viên .",12
FB_00127,phản hồi giải đáp thắc mắc cho sinh viên .,10
FB_00128,dạy quá nhanh .,4
FB_00129,mong ban thiết bị sớm khắc phục ạ !,9
FB_00130,môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,36
FB_00131,"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .",20
FB_00132,"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",31
FB_00133,"cô dạy rất tận tình , dễ hiểu .",9
FB_00134,không đáp ứng được nhu cầu của sinh viên .,10
FB_00135,thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .,16
FB_00136,cách giảng dạy của thầy rất hay và có phần dễ hiễu .,13
FB_00137,"nhiệt tình , dễ thương .",6
FB_00138,không hướng dẫn đồ án .,6
FB_00139,em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,20
FB_00140,"chép bài rất nhiều , lãng phí thời gian nghe giảng .",12
FB_00141,"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",21
FB_00142,đề thi môn dài sinh viên làm không đủ thời gian .,12
FB_00143,cho làm nhiều bài test .,6
FB_00144,theo em thì nên thi phòng máy nào có visual 2013 trở lên .,14
FB_00145,cần thêm nhiều tài liệu cho môn học .,9
FB_00146,thầy giảng dạy tốt .,5
FB_00147,mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,15
FB_00148,thầy cần cho bài tập và hướng dẫn nhiều hơn .,11
FB_00149,"giáo viên lên lớp đúng giờ , giảng bài sôi động .",12
FB_00150,em thấy thầy chỉ giảng cho có .,8
FB_00151,cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,23
FB_00152,"thầy nói chuyện với sinh viên rất tự nhiên , chia sẻ kinh nghiệm thực tế .",17
FB_00153,dạy theo sát chương trình .,6
FB_00154,cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,13
FB_00155,đề nghị nâng cấp phòng lab khoa mạng .,9
FB_00156,"thầy giảng hay và tâm huyết , bài giảng có tính thực tiễn cao .",15
FB_00157,đi dạy đúng giờ .,5
FB_00158,"thầy cung cấp nhiều kiến thức mới , thầy dạy tận tâm và nhiệt tình !",16
FB_00159,có tăng thêm nhiều ví dụ để minh họa cho lý thuyết vì có nhiều phần lý thuyết rất trừu tượng .,22
FB_00160,các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,29
FB_00161,"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .",15
FB_00162,"dạy chưa được kỹ lắm , điểm nên thoáng hơn .",11
FB_00163,chưa chuẩn bị kỹ bài giảng để có thể trả lời các thắc mắc của sinh viên trên lớp .,20
FB_00164,cô khá tận tâm cho học sinh .,8
FB_00165,"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",26
FB_00166,giảng viên có khả năng truyền đạt kiến thức tốt .,11
FB_00167,cho làm nhiều bài tập .,6
FB_00168,nghiên cứu khoa học .,5
FB_00169,"giáo viên dạy rất tận tâm , nhiệt tình .",10
FB_00170,thầy cô hướng dẫn đồ án hệ thống thông tin cần có thêm một vài buổi gặp mặt với sinh viên và đưa ra lịch cố định trên trường để sinh viên thắc mắc có thể lên hỏi trực tiếp !,41
FB_00171,chỉ thông báo trên lớp sẽ khó tránh sai sót .,11
FB_00172,cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan sát được ạ .,18
FB_00173,đề nghị lắp thêm quạt .,6
FB_00174,dạy kỹ .,3
FB_00175,bài tập cần đa dạng hơn .,7
FB_00176,nói rất nhỏ .,4
FB_00177,có lúc làm bài sai giáo viên nói làm hơi tự ái .,13
FB_00178,không sửa các bài tập thực hành .,8
FB_00179,em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,14
FB_00180,làm bài tập nhiều mặc dù không hiểu lắm .,10
FB_00181,thi thoảng nghỉ học không thông báo trên daa .,10
FB_00182,"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi .",13
FB_00183,"thầy giảng dạy nhiệt tình , truyền cảm .",9
FB_00184,"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .",13
FB_00185,truyền đạt những kiến thức tốt .,7
FB_00186,cô vui tính .,4
FB_00187,nếu có thì chỉ hướng dẫn bằng lý thuyết mà không làm bài tập mẫu cho sinh viên .,19
FB_00188,cô chưa có nhiều kênh bài tập cho sinh viên .,11
FB_00189,bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .,30
FB_00190,thầy dạy hơi nhanh .,5
FB_00191,ít hướng dẫn sinh viên trong giờ thực hành .,10
FB_00192,không thực hành được buổi nào .,7
FB_00193,"thầy dạy phần lý thuyết hay , nắm bắt được khả năng của sinh viên .",16
FB_00194,"ví dụ đề tài của em là doubledot các nguyên lý cơ bản , bao gồm 7 nguyên tắc của bohm ( 1983 ) .",25
FB_00195,"giáo viên nhiệt tình , dạy dễ hiểu , tận tình với sinh viên .",15
FB_00196,"tân tâm , nhiệt tình trong lớp lẫn bên ngoài .",11
FB_00197,thầy giảng dạy tận tâm nhiệt tình .,8
FB_00198,"thầy vui tính , giảng bài dễ hiểu , nhiệt tình .",12
FB_00199,thầy giáo dạy nhiệt tình .,6
FB_00200,"dạy dễ hiểu , gần gũi sinh viên .",9
FB_00201,"cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình .",23
FB_00202,mong thầy cố gắng trong các học kỳ sau .,10
FB_00203,cần đưa ra nhiều ví dụ minh họa hơn .,10
FB_00204,"giảng viên hoà đồng , vui vẻ , chỉ giảng tận tình sinh viên ham học hỏi .",18
FB_00205,giảng viên không dạy một tiết thực hành nào .,10
FB_00206,không !,2
FB_00207,nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy .,17
FB_00208,"có những phần kiến thức chỉ một nửa lớp được học nhưng giảng viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh viên còn lại khó nắm được .",34
FB_00209,máy tính cập nhật nhanh hơn .,7
FB_00210,"vui , hòa đồng , nhiệt tình .",8
FB_00211,có giúp đỡ sinh viên học tập nghiên cứu .,10
FB_00212,"giảng viên tận tâm , nhiệt tình , ham học hỏi .",12
FB_00213,"tuy nhiên cô nên cân nhắc lại về số lượng yêu cầu đối với sinh viên để sinh viên không bị khớp vì quá nhiều dẫn đến làm qua loa cho có , như vậy thì kết quả lại không tốt .",42
FB_00214,"cô rất tận tâm , rất ok , em rất thích cách dạy và học của cô ( mặc dù hơi nhanh tí ) .",25
FB_00215,mong thầy và nhà trường xem xét lại những điều em vừa nói .,14
FB_00216,"thầy tận tâm , nhiệt tình , tạo động lực cho sinh viên .",14
FB_00217,"thầy giáo tận tình , dạy kỹ , thường đưa ra câu hỏi để xem xét mức độ hiểu biết của sinh viên .",24
FB_00218,cần tăng cương trao đổi giữa sinh viên và giáo viên .,12
FB_00219,nói chung là nghe không bao giờ nghe rõ được .,11
FB_00220,cách truyền đạt của giáo viên chưa có sức hút đối với sinh viên nhiều cho lắm .,18
FB_00221,"cô giáo thân thiện dễ gần , thực hành nhiều .",11
FB_00222,chưa tiếp thu trọn vẹn .,6
FB_00223,cần cải tiến trang thiết thực hành .,8
FB_00224,giảng kỹ hơn .,4
FB_00225,còn hơi kéo thời gian .,6
FB_00226,có nhiều bài tập về nhà cơ bản lẫn nâng cao và giảng viên sửa bài đủ .,18
FB_00227,thầy rất hiền và kiên trì giảng dạy cho lớp mặc dù môn học này đối với em không được hứng thú lắm .,24
FB_00228,đôi lúc giảng bài hơi nhanh .,7
FB_00229,có một số buổi không đi dạy .,8
FB_00230,thầy nhiệt tình và dạy dễ hiểu .,8
FB_00231,"có kiến thức nền tảng này , sinh viên có thể học thêm bất kỳ công nghệ cụ thể nào đó dễ dàng , cũng như tiếp thu thay đổi công nghệ mới nhanh chóng .",36
FB_00232,"cấu trúc đề cương của thầy chưa rõ ràng , lý thuyết chưa được trình bày rõ trong các buổi học .",22
FB_00233,tài liệu hỗ trợ toàn tiếng anh rất khó học .,11
FB_00234,chưa nhận được gì từ môn học này .,9
FB_00235,"giảng viên không hề giảng dạy , chỉ đưa đề cương rồi thôi .",14
FB_00236,bài tập mỗi tuần đều có và đầy đủ .,10
FB_00237,em xin cảm ơn .,5
FB_00238,thầy cần phải cho sinh viên biết được học môn này có tác dụng gì và làm được gì khi học xong .,23
FB_00239,đề nghị tăng thời gian thưc hành .,8
FB_00240,không được làm những chuyện riêng trong lúc dạy thực hành .,12
FB_00241,hỗ trợ thêm giáo trình không phải slide cho sinh viên .,12
FB_00242,cô wzjwz259 rất vui và nhiệt tình .,8
FB_00243,"giáo viện nhiệt tình , tận tâm .",8
FB_00244,"kiến thức được giảng viên trình bày rõ ràng , dễ hiểu cho sinh viên .",16
FB_00245,cần thêm nhiều kit để thực hành .,8
FB_00246,dạy khó hiểu quá nhanh .,6
FB_00247,"luôn gần gũi , tham khảo ý kiến sinh viên và thống nhất cũng sinh viên .",17
FB_00248,sắp xếp lịch học bù chưa hợp lý .,9
FB_00249,"nhà trường nên đưa môn học này vào thời khóa biểu bắt buộc ở học kỳ 1 của các sinh viên năm nhất nhằm giúp các em nắm biết được mình nên học gì , mình có nên chuyển đổi ngành hay không .",44
FB_00250,thời gian thực hành cần nhiều hơn .,8
FB_00251,giảng viên rất nhiệt tình trong giảng dạy .,9
FB_00252,slide chuẩn bị chưa tốt .,6
FB_00253,thầy hay đòi hỏi sinh viên những điều hơi quá cao .,12
FB_00254,cô giảng hướng dẫn nhiệt tình .,7
FB_00255,"chúng em đã gặp khó khắn với khổ giấy nhỏ , mô hình thì lớn và phức tạp .",19
FB_00256,giảng quá nhiều không đánh vào trọng tâm .,9
FB_00257,"em không muốn nói gì nhưng mong thầy xem lại cách đánh giá sinh viên để công bằng hơn , cái sinh viên không biết không phải chỉ ở cúp tiết mà còn ở cách giảng dạy , truyền đạt ở giảng viên , ví dụ như cô wzjwz324 , rất dễ hiểu , tận tâm .",57
FB_00258,cô có nhiều hình thức giảng dạy hay .,9
FB_00259,hơi khó .,3
FB_00260,thầy đi trễ .,4
FB_00261,giảng tốt .,3
FB_00262,nói mở rộng nhiều vấn đề về môn học .,10
FB_00263,cần tăng cường nội dung nghe và nói để sinh viên giao tiếp tốt hơn bằng tiếng anh .,19
FB_00264,giảng viên tạo điều kiện làm nhiều bài tập .,10
FB_00265,hỗ trợ thêm về các thiết bị dạy và học .,11
FB_00266,ít giải bài tập trên lớp .,7
FB_00267,chia sẻ .,3
FB_00268,bám sát nội dung chính .,6
FB_00269,cần thêm các đoạn code cho các giải thuật bổ sung các phương pháp để giải quyết các bài toán liệt kê .,23
FB_00270,thông tin đầy đủ về bài tập và các nguồn tham khảo .,13
FB_00271,"cô tận tâm , nhiệt tình , phương pháp dạy dễ hiểu .",13
FB_00272,"thầy giảng rất dễ hiểu và thú vị , thu hút .",12
FB_00273,hướng dẫn chi tiết về cách thực hành .,9
FB_00274,"giảng viên chỉ cho đồ án và giải đáp các yêu cầu đồ án , không cung cấp tài liệu hay hướng dẫn cơ bản , sinh viên tự tìm hiểu với lý do là hệ tài năng nên cần tự xoay sở .",44
FB_00275,"môn học toàn kiến thức mới mẻ , giảng viên nên giảng chi tiết hơn .",16
FB_00276,"đến khi cuối kỳ , chỉ cần sinh viên mắc một sai sót nhỏ thì sẽ rớt môn .",19
FB_00277,"cần thay đổi cách dạy và nội dung học của phần thực hành , các bài thực hành hiện tại của môn mạng máy tính chưa đảm bảo hiệu quả .",31
FB_00278,"thầy dạy hay , tận tình góp ý từng bài .",11
FB_00279,"cơ sở vật chất , phỏng máy không đủ phích cắm cho dụng cụ thực hành và số lượng sinh viên , máy còn tiềm ẩn nhiều virus .",29
FB_00280,"trên lớp lý thuyết giảng viên yêu cầu sinh viên phải thực hiện đồ án theo những gì mình hướng dẫn , những nhóm sinh viên bổ sung thêm những liên hệ thực tiễn đều bị cho là sai , không phù hợp với đồ án .",47
FB_00281,thầy giảng bài hay và hiệu quả !,8
FB_00282,giảng viên nhiệt tình vui vẻ .,7
FB_00283,phòng học nên có rèm che sáng để khi chiếu slide được nhìn rõ hơn .,16
FB_00284,"chương trình dạy lý thuyết và thực hành nên khớp với nhau hơn , tránh tình trạng thực hành trước khi học lý thuyết .",25
FB_00285,"thầy giảng dạy nhiệt tình , dễ hiểu .",9
FB_00286,mong giảng viên ngày càng chấn chỉnh việc dạy học để các khoá sau được hiểu tốt hơn .,19
FB_00287,"thầy dạy rất có tâm , và giảng cho sinh viên rất nhiều thứ !",15
FB_00288,"nội dung khảo sat quá dài , nhiều mục lặp đi lặp lại , nhiều bạn khảo sát mà không cần đọc , toàn tích chàn .",27
FB_00289,dạy tốt và rất nhiệt tình chỉ dạy hoc sinh .,11
FB_00290,"nhiệt tình , tân tâm .",6
FB_00291,"nhưng học mới thấy kiến thức thầy dạy rất hay , bám sát thực tế , thầy dạy rất nhiệt tình , vui vẻ , khác với mọi người nói .",31
FB_00292,bài tập rất hay .,5
FB_00293,thầy cô cần cho nhiều dạng bài tập sát với đề thi hơn .,14
FB_00294,"thầy giảng hay nhưng nên tự tin hơn , nói to hơn để học sinh hiểu bài một cách rõ ràng hơn .",23
FB_00295,"mong thầy vui tính , gần gũi với sinh viên hơn .",12
FB_00296,"giáo viên vui tính , hòa đồng , nhiệt tình .",11
FB_00297,cung cấp kiến thức trọng tâm .,7
FB_00298,cố gắng truyền đạt một cách tốt nhất để sinh viên được hiểu .,14
FB_00299,giọng của giảng viên nhỏ dù đã sử dụng micro .,11
FB_00300,"dù phương pháp học tập này khá hiệu quả nhưng vẫn có chút nào đó nghi ngờ từ phần thuyết trình của các bạn , liệu các kiến thức đó có chuẩn xác và cập nhật chưa .",38
FB_00301,giáo viên có phong cách giảng dạy nghiêm túc .,10
FB_00302,"cô rất vui tính nà , không khí lớp lúc nào cũng vui hết , cô dạy rất hay , dễ hiểu !",23
FB_00303,"giảng viên giảng dạy rất tốt , thường xuyên cung cấp thêm nhiều kiến thức .",16
FB_00304,"thầy luôn nhiệt tình , có những chia sẻ rất gần gũi với sinh viên .",16
FB_00305,có khả năng truyền đạt tốt .,7
FB_00306,thậm chí còn không có bài nào khó bằng các bài trong nội dung của lớp chuyên tin ở các trường cấp 3 .,24
FB_00307,thầy dạy tận tụy và tâm huyết .,8
FB_00308,thầy nên có cách dạy mới cho môn học này để được kết quả tốt cho tất cả mọi người thay vì để rớt rất nhiều người !,28
FB_00309,lịch thi thực hành cần được thông báo sớm tới sinh viên và phù hợp với thời gian môn học .,21
FB_00310,cô nên giảng kỹ và chi tiết từng bài vì nhiều bài đa số các bạn chưa hiểu thì cô lại giảng nhanh để chuyển qua bài khác .,29
FB_00311,dạy tốt đúng trọng tâm những gì cần biết .,10
FB_00312,"nhiệt tình , lên lớp đúng giờ , dạy dễ hiểu .",12
FB_00313,"nếu em buồn ngủ , dù lên lớp em vẫn sẽ ngủ , mà ngủ ở trên lớp thì đau lưng và tê chân lắm .",26
FB_00314,cơ mà em học môn này em hiểu colonlove .,10
FB_00315,thiếu kinh nghiệm truyền đạt .,6
FB_00316,bài giảng thú vị .,5
FB_00317,em nghĩ nội dung thực hành nên gần với đồ án hơn .,13
FB_00318,thầy nhiệt huyết và giảng bao quát đề cập đến nhiều khía cạnh của bài học vấn đề .,19
FB_00319,giảng viên giảng bài kỹ .,6
FB_00320,"hệ thống đồ án chấm điểm theo mức độ hoàn thành của sinh viên , tạo sự ganh đua không hề nhẹ với những nhóm làm chung đồ án , kích thích sáng tạo không ngừng tìm hiểu xây dựng thêm chức năng mới cho đồ án nếu muốn được điểm cao .",53
FB_00321,"nhiệt tình , tâm huyết .",6
FB_00322,ít chú trọng phần ngữ pháp .,7
FB_00323,"giảng viên còn chưa tận tâm , phong cách giảng dạy chưa thu hút được sinh viên .",18
FB_00324,"giảng rất dễ hiểu , hướng dẫn làm thực hành tốt .",12
FB_00325,"thầy dạy rất nhiệt tình , khi dạy thầy luôn đi tới từng sinh viên để hướng dẫn .",19
FB_00326,giảng viên nhiệt tình trong giảng dạy và chấm điểm .,11
FB_00327,"cách truyền đạt kiến thức đối với em là rất hiệu quả , trao đổi bài với sinh viên , cô rất nhiệt tình !",25
FB_00328,"giảng dạy hay , dễ hiểu , tận tình .",10
FB_00329,"kiến thức rộng , kinh nghiệm thực tế nhiều , truyền cảm hứng cho sinh viên .",17
FB_00330,cách dạy sáng tạo .,5
FB_00331,giảng bài dễ tiếp thu .,6
FB_00332,em rất hài lòng với cô .,7
FB_00333,"thầy dạy dễ hiểu , sinh động .",8
FB_00334,cô chưa nắm bắt được thực trạng học của sinh viên .,12
